WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,SPEC_PROCESSED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE
WPR,YR,NH,LAO,Lao People's Democratic Republic,2016-06-27,2016,26,72.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,68.0
AMR,YR,SH,BRA,Brazil,2023-08-07,2023,32,5625.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,75.0,5550.0
SEAR,YR,NH,BGD,Bangladesh,2020-03-30,2020,14,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0
SEAR,YR,NH,BGD,Bangladesh,2017-11-20,2017,47,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
EUR,NH,NH,RUS,Russian Federation,2018-04-02,2018,14,36.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,36.0,0.0
EMR,YR,NH,LBN,Lebanon,2021-05-31,2021,22,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
EUR,NH,NH,SRB,Serbia,2019-04-29,2019,18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SEAR,YR,NH,NPL,Nepal,2019-06-24,2019,26,33.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,30.0
AFR,YR,SH,MOZ,Mozambique,2018-03-26,2018,13,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
SEAR,YR,NH,NPL,Nepal,2022-11-14,2022,46,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0
AMR,NH,NH,USA,United States of America,2018-08-27,2018,35,258.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,18.0,240.0
WPR,SH,SH,NCL,New Caledonia,2017-07-10,2017,28,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,18.0
AMR,SH,SH,CHL,Chile,2022-07-18,2022,29,2092.0,0.0,0.0,85.0,0.0,0.0,66.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1941.0
SEAR,YR,NH,MDV,Maldives,2018-10-22,2018,43,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0
WPR,SH,SH,AUS,Australia,2019-09-30,2019,40,1874.0,3.0,0.0,5.0,0.0,0.0,71.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,107.0,1767.0
WPR,YR,NH,VNM,Viet Nam,2023-01-09,2023,2,34.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,13.0,21.0
AMR,YR,NH,BLZ,Belize,2023-02-06,2023,6,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0
EUR,NH,NH,SRB,Serbia,2018-11-05,2018,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMR,YR,NH,JOR,Jordan,2023-02-13,2023,7,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,13.0,115.0
EUR,NH,NH,LUX,Luxembourg,2018-04-23,2018,17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WPR,NH,NH,KOR,Republic of Korea,2022-05-09,2022,19,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
AFR,YR,NH,SEN,Senegal,2018-12-17,2018,51,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,11.0
EMR,YR,NH,SAU,Saudi Arabia,2017-12-11,2017,50,135.0,20.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,34.0,101.0
AFR,YR,NH,NGA,Nigeria,2018-02-05,2018,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0
AFR,YR,SH,TZA,United Republic of Tanzania,2022-12-12,2022,50,218.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,200.0
EMR,YR,NH,QAT,Qatar,2021-12-13,2021,50,443.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.0,425.0
AFR,YR,NH,KEN,Kenya,2022-11-21,2022,47,82.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,77.0
AFR,YR,SH,ZMB,Zambia,2018-06-25,2018,26,58.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0
WPR,SH,SH,PNG,Papua New Guinea,2016-04-04,2016,14,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0
AFR,YR,SH,GAB,Gabon,2023-03-27,2023,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
AMR,YR,NH,HTI,Haiti,2022-06-13,2022,24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
AMR,YR,NH,MEX,Mexico,2020-12-21,2020,52,1037.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1036.0
AMR,SH,SH,PRY,Paraguay,2023-04-24,2023,17,166.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,162.0
SEAR,YR,NH,MDV,Maldives,2019-05-20,2019,21,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0
AMR,SH,SH,URY,Uruguay,2018-11-05,2018,45,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
WPR,YR,NH,CHN,China,2015-11-23,2015,48,8508.0,21.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,16.0,0.0,80.0,26.0,122.0,276.0,8232.0
EMR,YR,NH,LBN,Lebanon,2016-11-07,2016,45,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0
SEAR,YR,NH,MDV,Maldives,2015-02-16,2015,8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AMR,YR,NH,JAM,Jamaica,2016-03-21,2016,12,51.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,42.0
